CNPJ_CIA,CD_CVM,DT_REFER,DT_INI_EXERC,DT_FIM_EXERC,DENOM_CIA,VERSAO,GRUPO_DFP,MOEDA,ESCALA_MOEDA,ORDEM_EXERC,CD_CONTA,DS_CONTA,VL_CONTA,COLUNA_DF,source_file
33.592.510/0001-54,4170,2016-12-31,NA,2016-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.01.08.02,Ativos de Operações Descontinuadas,0,NA,dfp_cia_aberta_BPA_con_2016.csv
33.592.510/0001-54,4170,2016-12-31,NA,2016-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.01.08.03,Outros,2764975,NA,dfp_cia_aberta_BPA_con_2016.csv
33.592.510/0001-54,4170,2016-12-31,NA,2016-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.01.08.03.01,Instrumentos financeiros derivativos,892429,NA,dfp_cia_aberta_BPA_con_2016.csv
33.592.510/0001-54,4170,2016-12-31,NA,2016-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.01.08.03.02,Outros,1872546,NA,dfp_cia_aberta_BPA_con_2016.csv
33.592.510/0001-54,4170,2016-12-31,NA,2016-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.02,Ativo Não Circulante,249148963,NA,dfp_cia_aberta_BPA_con_2016.csv
33.592.510/0001-54,4170,2016-12-31,NA,2016-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.02.01,Ativo Realizável a Longo Prazo,34092439,NA,dfp_cia_aberta_BPA_con_2016.csv
33.592.510/0001-54,4170,2016-12-31,NA,2016-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.02.01.01,Aplicações Financeiras Avaliadas a Valor Justo,0,NA,dfp_cia_aberta_BPA_con_2016.csv
33.592.510/0001-54,4170,2016-12-31,NA,2016-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.02.01.01.01,Títulos para Negociação,0,NA,dfp_cia_aberta_BPA_con_2016.csv
33.592.510/0001-54,4170,2016-12-31,NA,2016-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.02.01.01.02,Títulos Disponíveis para Venda,0,NA,dfp_cia_aberta_BPA_con_2016.csv
33.592.510/0001-54,4170,2016-12-31,NA,2016-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.02.01.02,Aplicações Financeiras Avaliadas ao Custo Amortizado,0,NA,dfp_cia_aberta_BPA_con_2016.csv
33.592.510/0001-54,4170,2016-12-31,NA,2016-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.02.01.02.01,Títulos Mantidos até o Vencimento,0,NA,dfp_cia_aberta_BPA_con_2016.csv
33.592.510/0001-54,4170,2016-12-31,NA,2016-12-31,VALE S.A.,1,DF Consolidado - Balanço Patrimonial Ativo,REAL,MIL,ÚLTIMO,1.02.01.03,Contas a Receber,587274,NA,dfp_cia_aberta_BPA_con_2016.csv
